Iteration	Likelihood	Prior	p	r
40900	-1.702217	-1.036338	0.3338923	0.3338923
41000	-1.69371	-1.281267	0.3583852	0.3583852
41100	-1.718807	-1.453192	0.3755777	0.3755777
41200	-1.716331	-1.441586	0.3744171	0.3744171
41300	-3.913384	0.7294464	0.1573139	0.1573139
41400	-1.713229	-0.973108	0.3275693	0.3275693
41500	-1.695222	-1.095807	0.3398392	0.3398392
41600	-2.885694	0.2902684	0.2012317	0.2012317
41700	-3.149031	0.4229689	0.1879616	0.1879616
41800	-1.718031	-1.44961	0.3752195	0.3752195
41900	-1.887095	-0.5515392	0.2854124	0.2854124
42000	-1.690982	-1.225295	0.352788	0.352788
42100	-1.693626	-1.115316	0.3417902	0.3417902
42200	-1.747632	-0.8435199	0.3146105	0.3146105
42300	-1.705554	-1.383028	0.3685613	0.3685613
42400	-1.863189	-0.590619	0.2893204	0.2893204
42500	-2.160965	-0.2208914	0.2523477	0.2523477
42600	-1.7477	-0.8433142	0.3145899	0.3145899
42700	-1.948246	-1.983826	0.4286411	0.4286411
42800	-3.293633	0.4888019	0.1813783	0.1813783
42900	-2.480506	0.04108235	0.2261503	0.2261503
43000	-1.693652	-1.114961	0.3417546	0.3417546
43100	-1.71457	-0.9666237	0.3269209	0.3269209
43200	-3.142585	0.4199282	0.1882657	0.1882657
43300	-1.956886	-1.997171	0.4299756	0.4299756
43400	-1.90109	-0.5298576	0.2832443	0.2832443
43500	-2.334037	-0.06901843	0.2371604	0.2371604
43600	-2.419126	-0.003380306	0.2305965	0.2305965
43700	-4.698708	0.9672141	0.1335371	0.1335371
43800	-1.695483	-1.302837	0.3605422	0.3605422
43900	-1.692077	-1.140407	0.3442992	0.3442992
44000	-1.861988	-1.836262	0.4138847	0.4138847
44100	-2.048534	-0.3381437	0.2640729	0.2640729
44200	-3.047616	0.3739929	0.1928592	0.1928592
44300	-3.368028	0.5210203	0.1781565	0.1781565
44400	-1.767836	-0.78682	0.3089405	0.3089405
44500	-3.17467	0.4349702	0.1867615	0.1867615
44600	-1.801752	-0.7070509	0.3009636	0.3009636
44700	-2.336223	-0.06726796	0.2369853	0.2369853
44800	-2.5498	0.08875226	0.2213833	0.2213833
44900	-1.744104	-0.8544464	0.3157032	0.3157032
45000	-6.891339	1.413212	0.08893732	0.08893732
45100	-2.609681	0.1280218	0.2174563	0.2174563
45200	-1.781522	-0.7527615	0.3055347	0.3055347
45300	-1.816234	-1.742855	0.404544	0.404544
45400	-4.279061	0.847644	0.1454941	0.1454941
45500	-2.754274	0.2164888	0.2086096	0.2086096
45600	-2.488491	0.04670604	0.2255879	0.2255879
45700	-1.796056	-0.7194414	0.3022027	0.3022027
45800	-2.392259	-2.508621	0.4811206	0.4811206
45900	-2.087068	-0.2958369	0.2598422	0.2598422
46000	-2.715289	0.193449	0.2109136	0.2109136
46100	-1.697685	-1.324682	0.3627267	0.3627267
46200	-1.70718	-1.005174	0.3307759	0.3307759
46300	-2.5966	0.1195857	0.2182999	0.2182999
46400	-1.712235	-0.9780437	0.3280629	0.3280629
46500	-4.528219	0.9204782	0.1382107	0.1382107
46600	-2.237449	-2.352126	0.4654711	0.4654711
46700	-2.625475	0.1381048	0.216448	0.216448
